"point_4326";"point_900913"
"POINT(-43.1801349 -22.7950269)";"POINT(-4806790.62945286 -2607249.35745854)"
"POINT(-43.1802207 -22.7951254)";"POINT(-4806800.18066517 -2607261.25138637)"
"POINT(-43.1801349 -22.7950269)";"POINT(-4806790.62945286 -2607249.35745854)"
"POINT(-43.1800627 -22.7944078)";"POINT(-4806782.59218562 -2607174.60099825)"
"POINT(-43.1800627 -22.7944078)";"POINT(-4806782.59218562 -2607174.60099825)"
"POINT(-43.1799833 -22.7940406)";"POINT(-4806773.75341806 -2607130.26167839)"
"POINT(-43.1808219 -22.7911376)";"POINT(-4806867.10594304 -2606779.72926562)"
"POINT(-43.1809584 -22.7908795)";"POINT(-4806882.30105353 -2606748.56448194)"
"POINT(-43.1803617 -22.7921771)";"POINT(-4806815.87671337 -2606905.2463008)"
"POINT(-43.1808219 -22.7911376)";"POINT(-4806867.10594304 -2606779.72926562)"
"POINT(-43.1799833 -22.7940406)";"POINT(-4806773.75341806 -2607130.26167839)"
"POINT(-43.1799552 -22.7937586)";"POINT(-4806770.62534037 -2607096.210321)"
"POINT(-43.1799669 -22.7934421)";"POINT(-4806771.92777841 -2607057.99318994)"
"POINT(-43.1800533 -22.7930654)";"POINT(-4806781.54578241 -2607012.50707091)"
"POINT(-43.1800533 -22.7930654)";"POINT(-4806781.54578241 -2607012.50707091)"
"POINT(-43.1803617 -22.7921771)";"POINT(-4806815.87671337 -2606905.2463008)"
"POINT(-43.1807018 -22.795188)";"POINT(-4806853.73647219 -2607268.81037441)"
"POINT(-43.1803371 -22.7952154)";"POINT(-4806813.1382539 -2607272.11894215)"
"POINT(-43.1802207 -22.7951254)";"POINT(-4806800.18066517 -2607261.25138637)"
"POINT(-43.1803371 -22.7952154)";"POINT(-4806813.1382539 -2607272.11894215)"
"POINT(-43.1826687 -22.7954349)";"POINT(-4807072.69077863 -2607298.62373328)"
"POINT(-43.1824206 -22.7953134)";"POINT(-4807045.07241297 -2607283.95251105)"
"POINT(-43.1817061 -22.7951461)";"POINT(-4806965.53463679 -2607263.75092356)"
"POINT(-43.1810495 -22.7951623)";"POINT(-4806892.44225914 -2607265.70708337)"
"POINT(-43.1824206 -22.7953134)";"POINT(-4807045.07241297 -2607283.95251105)"
"POINT(-43.1822305 -22.79526)";"POINT(-4807023.91057777 -2607277.50442245)"
"POINT(-43.1822305 -22.79526)";"POINT(-4807023.91057777 -2607277.50442245)"
"POINT(-43.1817061 -22.7951461)";"POINT(-4806965.53463679 -2607263.75092356)"
"POINT(-43.1840651 -22.7971797)";"POINT(-4807228.13731558 -2607509.31117169)"
"POINT(-43.1840399 -22.7969772)";"POINT(-4807225.33206441 -2607484.85882895)"
"POINT(-43.1839764 -22.7968083)";"POINT(-4807218.26327674 -2607464.4637916)"
"POINT(-43.1838538 -22.7965932)";"POINT(-4807204.61550717 -2607438.49004171)"
"POINT(-43.1830563 -22.795756)";"POINT(-4807115.83821326 -2607337.39687818)"
"POINT(-43.1828765 -22.7955731)";"POINT(-4807095.82296882 -2607315.31150977)"
"POINT(-43.1826687 -22.7954349)";"POINT(-4807072.69077863 -2607298.62373328)"
"POINT(-43.1840615 -22.7972649)";"POINT(-4807227.73656541 -2607519.59927934)"
"POINT(-43.1863354 -22.7992521)";"POINT(-4807480.86595552 -2607759.56034673)"
"POINT(-43.1840615 -22.7972649)";"POINT(-4807227.73656541 -2607519.59927934)"
"POINT(-43.1840651 -22.7971797)";"POINT(-4807228.13731558 -2607509.31117169)"
"POINT(-43.1863354 -22.7992521)";"POINT(-4807480.86595552 -2607759.56034673)"
"POINT(-43.1865823 -22.7994013)";"POINT(-4807508.3507378 -2607777.57688851)"
"POINT(-43.1840615 -22.7972649)";"POINT(-4807227.73656541 -2607519.59927934)"
"POINT(-43.1863354 -22.7992521)";"POINT(-4807480.86595552 -2607759.56034673)"
"POINT(-43.1874665 -22.7987256)";"POINT(-4807606.77943156 -2607695.9833646)"
"POINT(-43.1867573 -22.7993065)";"POINT(-4807527.83164869 -2607766.12937844)"
"POINT(-43.1865823 -22.7994013)";"POINT(-4807508.3507378 -2607777.57688851)"
"POINT(-43.1886917 -22.7983497)";"POINT(-4807743.16807168 -2607650.59208544)"
"POINT(-43.1884755 -22.7983854)";"POINT(-4807719.10079777 -2607654.90298366)"
