"point_4326";"point_4326";"posicao"
"POINT(-43.2680876 -22.919884)";"POINT(-4816581.47923076 -2622332.83363265)";1
"POINT(-43.2675625 -22.9209211)";"POINT(-4816523.02536614 -2622458.17953905)";2
"POINT(-43.2671767 -22.9217661)";"POINT(-4816480.07830659 -2622560.30857821)";3
"POINT(-43.2668482 -22.9224565)";"POINT(-4816443.50985387 -2622643.75270619)";4
"POINT(-43.2665026 -22.9232517)";"POINT(-4816405.03783785 -2622739.86385095)";5
"POINT(-43.2664435 -22.9233881)";"POINT(-4816398.45885594 -2622756.349773)";6
"POINT(-43.2661244 -22.9241243)";"POINT(-4816362.93680643 -2622845.3305274)";7
"POINT(-43.2661142 -22.9191324)";"POINT(-4816361.80134762 -2622241.99440647)";8
"POINT(-43.2661074 -22.9241636)";"POINT(-4816361.04437509 -2622850.08053237)";9
"POINT(-43.2660289 -22.9190981)";"POINT(-4816352.30579506 -2622237.8488817)";10
"POINT(-43.2656611 -22.925128)";"POINT(-4816311.36248634 -2622966.643427)";11
"POINT(-43.2651169 -22.9264672)";"POINT(-4816250.78241946 -2623128.50816745)";12
"POINT(-43.2647405 -22.9260752)";"POINT(-4816208.88176312 -2623081.12823907)";13
"POINT(-43.2646105 -22.9134922)";"POINT(-4816194.41022932 -2621560.32952974)";14
"POINT(-43.2645048 -22.9258252)";"POINT(-4816182.64375914 -2623050.91151962)";15
"POINT(-43.264256 -22.9136343)";"POINT(-4816154.94746983 -2621577.50314314)";16
"POINT(-43.2642266 -22.9255579)";"POINT(-4816151.6746768 -2623018.60386486)";17
"POINT(-43.264202 -22.9183096)";"POINT(-4816148.93621733 -2622142.55044544)";18
"POINT(-43.2641485 -22.9125135)";"POINT(-4816142.98062457 -2621442.0484182)";19
"POINT(-43.2640697 -22.9254482)";"POINT(-4816134.2086487 -2623005.34481213)";20
"POINT(-43.2640207 -22.9137291)";"POINT(-4816128.75399365 -2621588.96028581)";21
