"point_4326";"point_4326";"posicao"
"POINT(-43.2675625 -22.9209211)";"POINT(-4816523.02536614 -2622458.17953905)";1
"POINT(-43.2671767 -22.9217661)";"POINT(-4816480.07830659 -2622560.30857821)";2
"POINT(-43.2668482 -22.9224565)";"POINT(-4816443.50985387 -2622643.75270619)";3
"POINT(-43.2665026 -22.9232517)";"POINT(-4816405.03783785 -2622739.86385095)";4
"POINT(-43.2664435 -22.9233881)";"POINT(-4816398.45885594 -2622756.349773)";5
"POINT(-43.2661244 -22.9241243)";"POINT(-4816362.93680643 -2622845.3305274)";6
"POINT(-43.2661074 -22.9241636)";"POINT(-4816361.04437509 -2622850.08053237)";7
"POINT(-43.2656611 -22.925128)";"POINT(-4816311.36248634 -2622966.643427)";8
"POINT(-43.2656565 -22.9201409)";"POINT(-4816310.85041669 -2622363.88297278)";9
"POINT(-43.2655676 -22.9201021)";"POINT(-4816300.95411395 -2622359.19353967)";10
"POINT(-43.2651169 -22.9264672)";"POINT(-4816250.78241946 -2623128.50816745)";11
"POINT(-43.2647405 -22.9260752)";"POINT(-4816208.88176312 -2623081.12823907)";12
"POINT(-43.2645048 -22.9258252)";"POINT(-4816182.64375914 -2623050.91151962)";13
"POINT(-43.2642266 -22.9255579)";"POINT(-4816151.6746768 -2623018.60386486)";14
"POINT(-43.2640697 -22.9254482)";"POINT(-4816134.2086487 -2623005.34481213)";15
"POINT(-43.2638605 -22.9253371)";"POINT(-4816110.92061122 -2622991.91655727)";16
"POINT(-43.2637347 -22.9193116)";"POINT(-4816096.91661928 -2622263.65267543)";17
"POINT(-43.2636973 -22.9141639)";"POINT(-4816092.75327032 -2621641.50854915)";18
"POINT(-43.2636605 -22.9142653)";"POINT(-4816088.65671306 -2621653.76338917)";19
"POINT(-43.2636425 -22.9143048)";"POINT(-4816086.65296223 -2621658.53721987)";20
"POINT(-43.2636062 -22.914366)";"POINT(-4816082.61206471 -2621665.93363878)";21
"POINT(-43.263589 -22.9252338)";"POINT(-4816080.69736947 -2622979.43107006)";22
"POINT(-43.2634187 -22.9251632)";"POINT(-4816061.73966019 -2622970.89791583)";23
"POINT(-43.2632508 -22.9251375)";"POINT(-4816043.04911769 -2622967.79165541)";24
"POINT(-43.2630663 -22.9151663)";"POINT(-4816022.51067164 -2621762.65541767)";25
"POINT(-43.2630091 -22.9250778)";"POINT(-4816016.14319676 -2622960.57594768)";26
"POINT(-43.2627885 -22.9189331)";"POINT(-4815991.58611709 -2622217.90686755)";27
"POINT(-43.2627635 -22.9189773)";"POINT(-4815988.80312982 -2622223.24890775)";28
"POINT(-43.2627246 -22.9190255)";"POINT(-4815984.47280163 -2622229.07439248)";29
"POINT(-43.2626567 -22.9190722)";"POINT(-4815976.91420821 -2622234.71858817)";30
"POINT(-43.2626138 -22.9158695)";"POINT(-4815972.13860205 -2621847.64246271)";31
"POINT(-43.2623312 -22.9256976)";"POINT(-4815940.67971395 -2623035.4889275)";32
