dataHora,ordem,linha,latitude,longitude,velocidade
10-15-2017 00:00:24,B82537,711,"-22.85824","-43.371174",2.22
10-15-2017 00:01:30,D53911,2310,"-22.883841","-43.494652",0
10-15-2017 00:01:49,D53752,,"-22.88426","-43.49585",0
10-15-2017 00:01:50,D53591,,"-22.88393","-43.49548",0
10-15-2017 00:02:10,C30190,565,"-22.879971","-43.35704",0
10-15-2017 00:03:56,A55095,,"-22.906719","-43.260891",0
10-15-2017 00:04:35,D53728,,"-22.883949","-43.49469",0
10-15-2017 00:05:14,D53738,,"-22.8841","-43.494751",0
10-15-2017 00:05:21,C30194,,"-22.950331","-43.348228",0
10-15-2017 00:05:24,D87199,770,"-22.917669","-43.607738",0
10-15-2017 00:05:29,D87881,,"-22.91642","-43.607941",21
10-15-2017 00:05:40,D53705,819,"-22.850771","-43.464149",33
10-15-2017 00:05:41,D53690,,"-22.89098","-43.215149",58
10-15-2017 00:05:43,D53652,,"-22.88378","-43.494831",0
10-15-2017 00:05:52,D53573,,"-22.8367","-43.258011",76
10-15-2017 00:05:53,D53608,397,"-22.902201","-43.55489",0
10-15-2017 00:06:03,B31100,,"-22.804779","-43.30949",0
10-15-2017 00:06:05,D53676,397,"-22.865549","-43.427559",57
10-15-2017 00:06:08,D53700,,"-22.883699","-43.49501",0
10-15-2017 00:06:09,D53734,846,"-22.901831","-43.555031",0
10-15-2017 00:06:20,B58144,625,"-22.83709","-43.285099",0
10-15-2017 00:06:31,A29012,474,"-22.868521","-43.292641",0
10-15-2017 00:06:33,C47619,,"-22.94479","-43.353909",61
10-15-2017 00:06:54,B58085,679,"-22.837151","-43.284889",0
10-15-2017 00:07:00,B58078,,"-22.906561","-43.21032",55
10-15-2017 00:07:00,D13208,,"-22.876209","-43.420341",0
10-15-2017 00:07:07,B58171,628,"-22.83699","-43.28511",0
10-15-2017 00:07:22,B58020,,"-22.87096","-43.258228",40
10-15-2017 00:07:25,A29113,474,"-22.86866","-43.29285",0
10-15-2017 00:07:26,B58046,628,"-22.83721","-43.28492",0
10-15-2017 00:07:30,C47904,,"-22.9533","-43.34967",0
10-15-2017 00:07:34,B58092,625,"-22.836889","-43.285561",0
10-15-2017 00:07:48,A29116,SV474,"-22.86861","-43.292931",0
10-15-2017 00:08:00,A29041,472,"-22.89566","-43.24345",24
10-15-2017 00:08:39,B58063,,"-22.837179","-43.286499",0
10-15-2017 00:08:40,B58154,628,"-22.8372","-43.284859",0
10-15-2017 00:08:42,B58142,,"-22.836849","-43.28558",0
10-15-2017 00:08:49,B58011,313,"-22.836571","-43.285881",0
10-15-2017 00:08:55,C13044,,"-22.88072","-43.358089",0
10-15-2017 00:08:59,B58064,679,"-22.8372","-43.28487",1
10-15-2017 00:09:02,A29015,474,"-22.868401","-43.293331",0
10-15-2017 00:09:03,B58053,313,"-22.836651","-43.285938",0
10-15-2017 00:09:07,B51629,917,"-22.87653","-43.368019",0
10-15-2017 00:09:16,B58077,625,"-22.85232","-43.281151",0
10-15-2017 00:09:27,B58174,,"-22.898121","-43.21748",33
10-15-2017 00:09:27,B58194,622,"-22.837099","-43.285099",0
10-15-2017 00:09:27,C13003,,"-22.876129","-43.420582",0
10-15-2017 00:09:31,B58089,625,"-22.836889","-43.28548",0
10-15-2017 00:09:33,A29127,,"-22.90238","-43.1758",32
10-15-2017 00:09:46,B58157,625,"-22.83654","-43.285831",0
10-15-2017 00:09:47,B58135,313,"-22.83737","-43.285259",0
10-15-2017 00:09:48,D53570,,"-22.902031","-43.554619",0
10-15-2017 00:09:49,B51563,624,"-22.87624","-43.368111",0
10-15-2017 00:09:49,B58097,,"-22.84338","-43.28125",34
10-15-2017 00:09:52,A29017,,"-22.86841","-43.293331",0
10-15-2017 00:10:00,B58123,679,"-22.837151","-43.284931",0
10-15-2017 00:10:02,A63511,,"-22.867929","-43.258671",0
10-15-2017 00:10:03,B58160,313,"-22.83687","-43.285809",0
10-15-2017 00:10:14,B58055,679,"-22.83729","-43.285042",0
10-15-2017 00:10:14,C13061,878,"-22.879919","-43.358349",0
10-15-2017 00:10:23,D12117,2335,"-23.01544","-43.520248",51
10-15-2017 00:10:32,B58111,628,"-22.836611","-43.285931",0
10-15-2017 00:10:34,B58132,625,"-22.83651","-43.28577",0
10-15-2017 00:10:39,B58019,313,"-22.836849","-43.285339",0
10-15-2017 00:10:44,B58004,621,"-22.87038","-43.258419",0
10-15-2017 00:10:46,C30007,565,"-22.880671","-43.357052",0
10-15-2017 00:10:58,B58131,312,"-22.836519","-43.285789",0
10-15-2017 00:11:00,B58095,628,"-22.837099","-43.285069",0
10-15-2017 00:11:03,B58149,628,"-22.837179","-43.284882",0
10-15-2017 00:11:05,C47552,613,"-22.95195","-43.35006",0
10-15-2017 00:11:12,B58003,628,"-22.83676","-43.28561",0
10-15-2017 00:11:13,D13205,790,"-22.884001","-43.552769",0
10-15-2017 00:11:16,C47569,861,"-22.976601","-43.334702",0
10-15-2017 00:11:18,B63060,,"-22.79232","-43.294338",0
10-15-2017 00:11:20,D12119,,"-22.888611","-43.672279",0
10-15-2017 00:11:22,B58148,621,"-22.836901","-43.28548",0
10-15-2017 00:17:24,D87231,,"-22.918421","-43.607689",0
10-15-2017 00:31:17,B28616,,"-22.81657","-43.18594",8
10-15-2017 00:34:35,B28509,326,"-22.815331","-43.188148",0
10-15-2017 00:35:29,B27019,629,"-22.817381","-43.30146",0
10-15-2017 00:51:33,D53567,,"-22.88365","-43.495579",0
10-15-2017 00:57:24,B27092,639,"-22.862659","-43.34222",41
10-15-2017 00:59:30,B28528,326,"-22.815809","-43.188278",0
10-15-2017 01:23:10,D13256,803,"-22.87612","-43.419769",0
10-15-2017 01:42:25,D87884,,"-22.91748","-43.607571",0
10-15-2017 01:49:14,D53532,393,"-22.846479","-43.248112",61
10-15-2017 01:50:40,B44695,,"-22.8608","-43.35545",0
10-15-2017 01:58:10,A48101,415,"-22.910469","-43.26981",0
10-15-2017 02:04:14,D86406,838,"-22.894682","-43.532852",13.89
10-15-2017 02:28:56,B55145,,"-22.9063","-43.261009",0
10-15-2017 04:21:55,C30002,,"-22.95236","-43.349449",0
10-15-2017 04:31:36,C50182,805,"-22.960512","-43.395561",0.56
10-15-2017 05:18:28,D53709,,"-22.883381","-43.494919",0
10-15-2017 05:20:01,A29161,,"-22.868071","-43.29184",0
10-15-2017 05:20:17,D53723,,"-22.883881","-43.495331",0
10-15-2017 05:20:32,A29174,461,"-22.86797","-43.292179",0
10-15-2017 05:21:26,A29175,,"-22.868099","-43.29221",0
10-15-2017 05:23:54,D53910,,"-22.88401","-43.495499",0
10-15-2017 05:24:13,A29038,,"-22.86813","-43.292728",0
10-15-2017 05:25:08,D53597,759,"-22.884029","-43.495941",0
10-15-2017 05:25:17,A29047,471,"-22.86799","-43.292259",0
10-15-2017 05:25:33,C30133,,"-22.917919","-43.283459",0
10-15-2017 05:26:17,A29056,209,"-22.868031","-43.291981",0
10-15-2017 05:26:18,D53588,,"-22.88398","-43.495449",0
10-15-2017 05:26:49,A29068,SV474,"-22.86799","-43.292019",0
10-15-2017 05:27:16,A29066,461,"-22.868191","-43.292122",0
10-15-2017 05:28:28,A29091,209,"-22.86772","-43.291321",0
10-15-2017 05:29:17,D53707,,"-22.88419","-43.49538",0
10-15-2017 05:31:25,D53715,,"-22.88419","-43.495739",0
10-15-2017 05:33:37,D53720,,"-22.884199","-43.495522",0
10-15-2017 05:34:00,D53578,,"-22.883631","-43.49469",0
10-15-2017 05:35:21,D53628,,"-22.88409","-43.49585",0
10-15-2017 05:36:00,D53582,,"-22.88369","-43.495152",0
10-15-2017 05:41:37,D53743,,"-22.883579","-43.49485",0
10-15-2017 05:48:16,D53683,,"-22.883829","-43.495811",0
10-15-2017 05:58:09,B51501,917,"-22.87631","-43.36797",6
10-15-2017 06:01:26,B42550,,"-22.876369","-43.32946",0
10-15-2017 06:03:30,D53727,,"-22.8841","-43.495781",0
10-15-2017 06:13:26,C30023,565,"-22.952141","-43.348042",1
10-15-2017 06:19:23,A27610,439,"-22.92013","-43.25584",6
10-15-2017 06:19:29,B44590,,"-22.844879","-43.282749",0
10-15-2017 06:22:32,B58036,,"-22.83716","-43.28669",18
10-15-2017 06:25:01,D13211,SP803,"-22.88068","-43.358021",0
10-15-2017 06:36:59,C30228,LECD23,"-22.87991","-43.358311",0
10-15-2017 06:37:22,D87743,,"-22.91667","-43.60767",0
10-15-2017 06:41:15,C47693,,"-22.953449","-43.350681",1
10-15-2017 06:48:22,D53744,,"-22.884251","-43.496052",0
10-15-2017 06:49:13,A63537,107,"-22.952959","-43.172409",0
10-15-2017 06:51:54,C47526,881,"-22.952591","-43.350079",0
10-15-2017 06:53:19,B51540,,"-22.876471","-43.368198",6
10-15-2017 06:55:17,D17067,,"-22.91988","-43.60778",0
10-15-2017 06:58:47,D87036,,"-22.91715","-43.60709",0
10-15-2017 07:01:54,D13121,,"-22.87611","-43.419899",4
10-15-2017 07:05:57,B58099,621,"-22.83753","-43.28616",38
10-15-2017 07:08:19,D17045,,"-22.9189","-43.60754",0
10-15-2017 07:08:20,A27601,,"-22.920139","-43.256451",0
10-15-2017 07:08:25,D53606,396,"-22.88431","-43.496132",0
10-15-2017 07:08:30,D17019,,"-22.919649","-43.608002",0
10-15-2017 07:11:03,D53661,369,"-22.88352","-43.495861",0
10-15-2017 07:18:11,C47527,862,"-22.95315","-43.349861",0
10-15-2017 07:19:31,C47781,862,"-22.953341","-43.34996",0
10-15-2017 07:29:56,B11598,778,"-22.803978","-43.306309",0
10-15-2017 07:31:13,C47870,863,"-22.95262","-43.3508",0
10-15-2017 07:31:46,B51628,917,"-22.87619","-43.368629",0
10-15-2017 07:34:11,B51604,SP265,"-22.87631","-43.368729",2
10-15-2017 07:46:43,A37605,,"-22.90221","-43.196892",0
10-15-2017 07:51:17,A27619,,"-22.977039","-43.190331",39
10-15-2017 07:56:38,B27060,951,"-22.817249","-43.302341",0
10-15-2017 07:56:48,A27597,,"-22.94722","-43.18222",23
10-15-2017 07:58:17,A27670,433,"-22.956989","-43.178108",1
10-15-2017 08:00:47,A27626,,"-22.919559","-43.214439",1
10-15-2017 08:01:21,B19607,350,"-22.831011","-43.323292",0
10-15-2017 08:02:16,A27657,,"-22.912701","-43.18507",29
10-15-2017 08:06:27,D53576,,"-22.8836","-43.49588",0
10-15-2017 08:11:34,C51642,371,"-22.87644","-43.368229",11
10-15-2017 08:15:05,D13322,394,"-22.876591","-43.419891",0
10-15-2017 08:20:36,B51521,265,"-22.87645","-43.368172",10
10-15-2017 08:21:58,C47705,861,"-22.95257","-43.350201",0
10-15-2017 08:22:53,A27617,433,"-22.91387","-43.204411",35
10-15-2017 08:25:18,A37693,,"-22.90234","-43.196819",0
